"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
t12s6a04,day_12_friday_daily_survey,,radio,"<font size=""5.5"">4. I was called names or insulted today

<font color=""green"">Me llamaron nombres negativos o me insultaron el día de hoy</font>","1, <font size=""4.5""> 1 Strongly disagree<br><font color=""green"">Totalmente en desacuerdo</font> | 2, <font size=""4.5""> 2 Disagree<br><font color=""green"">En desacuerdo</font> | 3, <font size=""4.5""> 3 Neutral/Depends<br><font color=""green"">Neutral/Depende</font> | 4, <font size=""4.5""> 4 Agree <br><font color=""green"">De acuerdo</font> | 5, <font size=""4.5""> 5 Strongly agree<br><font color=""green"">Totalmente de acuerdo</font>",,,,,,,,,,,,
t12s7qag,day_12_friday_daily_survey,"<font size=""5.5""><center>Section 7A/<font color=""green"">Sección 7A</font>
</center>",descriptive,"<font size=""5.5"">Have you experienced any of these physical symptoms today?

<font color=""green"">¿Has experimentado <span style=""font-weight:normal;"">(<i>sentido</i>)</span> cualquiera de estos síntomas físicos el día de hoy?</font>",,,,,,,,,,,,,
t12phy01,day_12_friday_daily_survey,,radio,"<font size=""5.5"">1. Headache
<font color=""green"">Dolor de cabeza</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12phy02,day_12_friday_daily_survey,,radio,"<font size=""5.5"">2. Cold/Flu
<font color=""green"">Resfriado/Gripa</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12phy03,day_12_friday_daily_survey,,radio,"<font size=""5.5"">3. Tired
<font color=""green"">Cansancio</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12phy04,day_12_friday_daily_survey,,radio,"<font size=""5.5"">4. Allergies
<font color=""green"">Alergias</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12phy05,day_12_friday_daily_survey,,radio,"<font size=""5.5"">5. Stomachache
<font color=""green"">Dolor de estómago</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12phy06,day_12_friday_daily_survey,,radio,"<font size=""5.5"">6. Other Physical Problems
<font color=""green"">Otros problemas físicos</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12eco01,day_12_friday_daily_survey,"<font size=""5.5""><center>Section 7B/<font color=""green"">Sección 7B</font>
</center>",radio,"<font size=""5.5"">1. How much of a problem did your family have today because your parents did not have enough money to buy things your family needs or wants?

<font color=""green"">¿Qué tan problemático fue hoy para tu familia que tus padres no tuvieran suficiente dinero para comprar cosas que ustedes necesitan o quieren?
</font></font>","1, <font size=""4.5""> 1 Not at all (problematic) <br><font color=""green"">Para nada (problemático)</font><br></font> | 2, <font size=""4.5"">2 A little bit (problematic)<br><font color=""green"">Un poco (problemático)</font><br></font> | 3, <font size=""4.5"">3 Somewhat (problematic)<br><font color=""green"">Algo (problemático)</font><br></font> | 4, <font size=""4.5"">4 Quite a bit (problematic)<br><font color=""green"">Bastante (problemático) </font><br></font> | 5, <font size=""4.5"">5 Very much (problematic)<br><font color=""green"">Mucho/Muy (problemático)</font><br></font>",,,,,,,,,,,,
t12eco02,day_12_friday_daily_survey,,radio,"<font size=""5.5"">2. Did you have enough money for clothes, school activities, or things you needed today?

<font color=""green"">¿Tuviste suficiente dinero para comprar ropa, actividades escolares, o cosas que necesitabas hoy?
</font></font>","1, <font size=""4.5""> 1 Not at all<br><font color=""green"">Para nada</font><br> | 2, <font size=""4.5""> 2 A little bit<br><font color=""green"">Un poco</font><br> | 3, <font size=""4.5""> 3 Somewhat<br><font color=""green"">Algo</font><br> | 4, <font size=""4.5""> 4 Quite a bit<br><font color=""green"">Bastante</font><br> | 5, <font size=""4.5""> 5 Very much<br><font color=""green"">Mucho</font><br>",,,,,,,,,,,,
t12eco03,day_12_friday_daily_survey,,radio,"<font size=""5.5"">3. Did you have enough money today for doing things you and your friends like to do, such as going to the movies, eating pizza, etc.?

<font color=""green"">¿Tuviste suficiente dinero el día de hoy para hacer cosas que les gusta hacer a ti y a tus amigos, como ir al cine, comer pizza, etc.?</font>","1, <font size=""4.5""> 1 Not at all<br><font color=""green"">Para nada</font><br> | 2, <font size=""4.5""> 2 A little bit<br><font color=""green"">Un poco</font><br> | 3, <font size=""4.5""> 3 Somewhat<br><font color=""green"">Algo</font><br> | 4, <font size=""4.5""> 4 Quite a bit<br><font color=""green"">Bastante</font><br> | 5, <font size=""4.5""> 5 Very much<br><font color=""green"">Mucho</font><br>",,,,,,,,,,,,
t12eco04,day_12_friday_daily_survey,,radio,"<font size=""5.5"">4. Did you and your parents disagree or get upset about money today?

<font color=""green"">¿Se molestaron o estuvieron en desacuerdo tus padres y tú por asuntos de dinero el día de hoy?</font>","1, <font size=""4.5""> 1 Not at all<br><font color=""green"">Para nada</font><br> | 2, <font size=""4.5""> 2 A little bit<br><font color=""green"">Un poco</font><br> | 3, <font size=""4.5""> 3 Somewhat<br><font color=""green"">Algo</font><br> | 4, <font size=""4.5""> 4 Quite a bit<br><font color=""green"">Bastante</font><br> | 5, <font size=""4.5""> 5 Very much<br><font color=""green"">Mucho</font><br>",,,,,,,,,,,,
t12cvi01,day_12_friday_daily_survey,"<font size=""5.5""><center>Section 8/<font color=""green"">Sección 8</font>
</center></font>",radio,"<font size=""5.5"">1a. As of today, have you received the COVID-19 vaccine?

<span style=""color:green"">Hasta ahora, ¿has recibido la vacuna contra el COVID-19?</span> </span> </font>","1, <font size=""4.5"">1 Yes<br><span style=""color:green"">Sí</span> </span> | 2, <font size=""4.5"">2 No <br><span style=""color:green"">No</span> </span>",,,,,,,,,,,,
t12cvib01,day_12_friday_daily_survey,,radio,"<font size=""5.5"">1b. As of today, have you received the additional dosage (booster) of the COVID-19 vaccine?

<span style=""color:green"">Hasta ahora, ¿has recibido la dosis adicional (vacuna de refuerzo) de la vacuna contra el COVID-19?</span> </span> </font>","1, <font size=""4.5"">1 Yes<br><span style=""color:green"">Sí</span> </span> | 2, <font size=""4.5"">2 No <br><span style=""color:green"">No</span> </span>",,,,,,[t12cvi01]='1',,,,,,
t12cvi02,day_12_friday_daily_survey,,radio,"<font size=""5.5"">2. I intend to get the COVID-19 vaccine 

<span style=""color:green"">Tengo la intención de ponerme la vacuna contra el COVID-19</span> </span> </font>","1, <font size=""4.5"">1 Strongly disagree<br><span style = ""color:green"">Totalmente en desacuerdo</span></font> | 2, <font size=""4.5"">2 Disagree<br><span style = ""color:green"">En desacuerdo</span></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><span style = ""color:green"">Neutral/Depende</span></font> | 4, <font size=""4.5"">4 Agree<br><span style = ""color:green"">De acuerdo</span></font> | 5, <font size=""4.5"">5 Strongly agree<br><span style = ""color:green"">Totalmente de acuerdo</span></font>",,,,,,[t12cvi01]='2',,,,,,
t12cvi03,day_12_friday_daily_survey,,radio,"<font size=""5.5"">3. I intend to get the additional dosage (booster) of the COVID-19 vaccine  

<span style=""color:green"">Tengo la intención de ponerme la dosis adicional (vacuna de refuerzo) de la vacuna contra el COVID-19</span> </span> </font>","1, <font size=""4.5"">1 Strongly disagree<br><span style = ""color:green"">Totalmente en desacuerdo</span></font> | 2, <font size=""4.5"">2 Disagree<br><span style = ""color:green"">En desacuerdo</span></font> | 3, <font size=""4.5"">3 Neutral/Depends<br><span style = ""color:green"">Neutral/Depende</span></font> | 4, <font size=""4.5"">4 Agree<br><span style = ""color:green"">De acuerdo</span></font> | 5, <font size=""4.5"">5 Strongly agree<br><span style = ""color:green"">Totalmente de acuerdo</span></font>",,,,,,"[t12cvib01]='2' or [t12cvi01]='2'",,,,,,
t12covdi,day_12_friday_daily_survey,,descriptive,"<font size=""5.5"">How often did you feel the following?

<span style = ""color:green"">¿Qué tan frecuente sentiste lo siguiente?</span> </font>
</div>",,,,,,,,,,,,,
t12covd1,day_12_friday_daily_survey,,radio,"<font size= ""5.5""> 1. Today, due to COVID-19, I felt unable to control the important things in my life

<span style=""color:green"">Hoy, debido al COVID-19, me sentí incapaz de controlar las cosas importantes en mi vida</span></font>","1, <font size= ""4.5""> 1 Never<br><span style=""color:green"">Nunca </span> </font> | 2, <font size= ""4.5""> 2 Almost never<br><span style=""color:green"">Casi nunca </span> </font> | 3, <font size= ""4.5""> 3 Sometimes<br><span style=""color:green"">A veces </span> </font> | 4, <font size= ""4.5""> 4 Fairly often<br><span style=""color:green"">Algo frecuente </span> </font> | 5, <font size= ""4.5""> 5 Very often<br><span style=""color:green"">Muy frecuente </span> </font>",,,,,,,,,,,,
t12covd2,day_12_friday_daily_survey,,radio,"<font size= ""5.5""> 2. Today, due to COVID-19, I felt difficulties were piling up so high that I could not overcome them

<span style=""color:green"">Hoy, debido al COVID-19, sentí que las dificultades se acumularon tanto que no pude superarlas</span> </font>","1, <font size= ""4.5""> 1 Never<br><span style=""color:green"">Nunca </span> </font> | 2, <font size= ""4.5""> 2 Almost never<br><span style=""color:green"">Casi nunca </span> </font> | 3, <font size= ""4.5""> 3 Sometimes<br><span style=""color:green"">A veces </span> </font> | 4, <font size= ""4.5""> 4 Fairly often<br><span style=""color:green"">Algo frecuente </span> </font> | 5, <font size= ""4.5""> 5 Very often<br><span style=""color:green"">Muy frecuente </span> </font>",,,,,,,,,,,,
t12cvbit,day_12_friday_daily_survey,,descriptive,"<font size=""5.5"">How much would you agree with the following statements? 

<span style = ""color:green"">¿Qué tan de acuerdo estás con las siguientes declaraciones? </span> </font>
</div>",,,,,,,,,,,,,
t12cvb01,day_12_friday_daily_survey,,radio,"<font size=""5.5""> 1. Today, I felt confident in my ability to find information about the COVID-19 vaccine

<span style=""color:green"">Hoy, me sentí seguro/a en mi habilidad de encontrar información sobre la vacuna contra el COVID-19</span></font>","1, <font size= ""4.5""> 1 Strongly disagree <br><span style=""color:green"">Totalmente en desacuerdo</span> </font> | 2, <font size= ""4.5""> 2 Disagree<br><span style=""color:green"">En desacuerdo</span> </font> | 3, <font size= ""4.5""> 3 Neutral/Depends<br><span style=""color:green"">Neutral/Depende</span> </font> | 4, <font size= ""4.5""> 4 Agree<br><span style=""color:green"">De acuerdo </span> </font> | 5, <font size= ""4.5""> 5 Strongly agree <br> <span style=""color:green""> Totalmente de acuerdo</span> </font>",,,,,,,,,,,,
t12cvb02,day_12_friday_daily_survey,,radio,"<font size=""5.5"">2. Today, I felt that information about the COVID-19 vaccine was easy to access

<span style=""color:green"">Hoy, sentí que información sobre la vacuna contra el COVID-19 era fácil de acceder <span style=""font-weight:normal;"">(<i>accesar</i>)</span>
<span></font>","1, <font size= ""4.5""> 1 Strongly disagree <br><span style=""color:green"">Totalmente en desacuerdo</span> </font> | 2, <font size= ""4.5""> 2 Disagree<br><span style=""color:green"">En desacuerdo</span> </font> | 3, <font size= ""4.5""> 3 Neutral/Depends<br><span style=""color:green"">Neutral/Depende</span> </font> | 4, <font size= ""4.5""> 4 Agree<br><span style=""color:green"">De acuerdo </span> </font> | 5, <font size= ""4.5""> 5 Strongly agree <br> <span style=""color:green""> Totalmente de acuerdo</span> </font>",,,,,,,,,,,,
t12healt,day_12_friday_daily_survey," ",radio,"<font size=""5.5"">1. Overall, how would you rate your health today?

<span style=""color:green"">En general, ¿cómo calificarías tu salud hoy?</span></font>","1, <font size=""4.5"">1 Poor<br><span style=""color:green"">Mala</span></font> | 2, <font size=""4.5"">2 Fair<br><span style=""color:green"">Algo mala</span></font> | 3, <font size=""4.5"">3 Good<br><span style=""color:green"">Bien</span></font> | 4, <font size=""4.5"">4 Very good <br><span style=""color:green"">Muy bien</span></font> | 5, <font size=""4.5"">5 Excellent<br><span style=""color:green"">Excelente</span></font>",,,,,,,,,,,,
t12socdi,day_12_friday_daily_survey,,descriptive,"<font size=""5.5"">How often did the following happen to you today?

<span style = ""color:green"">¿Con que frecuencia te sucedió lo siguiente hoy?</span></font>
</div>",,,,,,,,,,,,,
t12socd1,day_12_friday_daily_survey,,radio,"<font size=""5.5"">a. Felt supported by your family members

 <span style = ""color:green"">Me sentí apoyado/a por miembros de mi familia </span></font>

</div>","1, <font size=""4.5"">1 Not at all <br><span style=""color:green"">Para nada </span></font> | 2, <font size=""4.5"">2 A little bit<br><span style=""color:green"">Un poco </span></font> | 3, <font size=""4.5"">3 Some<br><span style=""color:green"">Algo </span></font> | 4, <font size=""4.5"">4 Quite a bit<br><span style=""color:green"">Bastante </span></font> | 5, <font size=""4.5"">5 A lot <br><span style=""color:green"">Mucho</span></font>",,,,,,,,,,,,
t12socd2,day_12_friday_daily_survey,,radio,"<font size=""5.5"">b. Felt supported by a friend

 <span style = ""color:green"">Me sentí apoyado/a por un/a amigo/a </span></font>

</div>","1, <font size=""4.5"">1 Not at all <br><span style=""color:green"">Para nada </span></font> | 2, <font size=""4.5"">2 A little bit<br><span style=""color:green"">Un poco </span></font> | 3, <font size=""4.5"">3 Some<br><span style=""color:green"">Algo </span></font> | 4, <font size=""4.5"">4 Quite a bit<br><span style=""color:green"">Bastante </span></font> | 5, <font size=""4.5"">5 A lot <br><span style=""color:green"">Mucho</span></font>",,,,,,,,,,,,
t12pbar4,day_12_friday_daily_survey,,descriptive,"<div style=""width: 100%; border: 0; margin: 0; padding: 0; background-color: #DCDCDC; text-align: center;""> <font size=""5.5""> 90% complete
<div style=""width: 90%; border: 0; margin: 0; padding: 0; background-color: #228B22;""><span style=""color: #228B22;"">.</span></div>
</div>",,,,,,,"[t12socd2]= '1' or [t12socd2]= '2' or [t12socd2]= '3' or [t12socd2]= '4' or [t12socd2]= '5'",,,,,,
t12ins01,day_12_friday_daily_survey,,descriptive,"<div style=""background-color:white;border:1px solid black;font-weight:normal""> <font size=5.5>
Please remember that all of your responses are confidential. 

<span style=""color:green"">Por favor recuerda que todas tus respuestas son confidenciales.</span>
</font>

</div>",,,,,,,,,,,,,
t12alc,day_12_friday_daily_survey,"<font size=""5.5""><center>Section 9/<font color=""green"">Sección 9</font></center>",radio,"<font size=""5.5"">1a. How many standard alcoholic drinks have you consumed in the past 24 hours? A standard drink is defined as one 12-oz. beer, one 5-oz. glass of wine, or one 1.5-oz. shot of liquor and ""drinking"" includes beer, wine, wine coolers, alcohol mixed with energy drinks, and hard liquor <span style=""font-weight:normal;"">(<i>e.g., gin, rum, vodka, whiskey</i>)</span>.

<font color=""green"">¿Cuántas bebidas alcohólicas estándar has consumido en las últimas 24 horas? Una bebida estándar es definida como una cerveza de 12-oz., una copa de vino de 5-oz., o un trago de licor de 1.5-oz., y ""beber"" incluye cerveza, vino, sidra/refresco con alcohol, alcohol mezclado con bebidas energéticas y licor fuerte <span style=""font-weight:normal;"">(<i>gin, ron, vodka, whisky<i>)</span>.</font></font>","0, <font size=""4.5"">  None/<font color=""green"">Ninguno</font> | 1, <font size=""4.5""> One/<font color=""green"">Uno</font> | 2, <font size=""4.5""> Two/<font color=""green"">Dos</font> | 3, <font size=""4.5""> Three/<font color=""green"">Tres</font> | 4, <font size=""4.5""> Four/<font color=""green"">Cuatro</font> | 5, <font size=""4.5""> Five/<font color=""green"">Cinco</font> | 6, <font size=""4.5""> Six/<font color=""green"">Seis</font> | 7, <font size=""4.5""> More than six<br><font color=""green"">Más de seis</font>",,,,,,,,,,,,
t12alcy,day_12_friday_daily_survey,,radio,"<font size=""5.5"">1b. How many standard alcoholic drinks did you have in the 24 hours before that?

<font color=""green"">¿Cuántas bebidas alcohólicas estándar te consumiste en las 24 horas antes de eso?</font></font>","0, <font size=""4.5""> None/<font color=""green"">Ninguno</font></font><br> | 1, <font size=""4.5"">One/<font color=""green"">Uno</font></font><br> | 2, <font size=""4.5"">Two/<font color=""green"">Dos</font></font><br> | 3, <font size=""4.5""> Three/<font color=""green"">Tres</font></font><br> | 4, <font size=""4.5"">Four/<font color=""green"">Cuatro</font></font><br> | 5, <font size=""4.5"" >Five/<font color=""green"">Cinco</font></font><br> | 6, <font size=""4.5""> Six/<font color=""green"">Seis</font></font><br> | 7, <font size=""4.5"">More than six<br><font color=""green"">Más de seis</font></font><br>",,,,,,,,,,,,
t12dayex,day_12_friday_daily_survey,,radio,"<font size=""5.5"">2. Did you exercise today?

<font color=""green"">¿Hiciste ejercicio el día de hoy?</font>","1, <font size=""4.5"">  1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12daye2,day_12_friday_daily_survey,,radio,"<font size=""5.5"">3. How much did you exercise?

<font color=""green"">¿Cuánto tiempo hiciste ejercicio?</font>","1, <font size=""4.5""> 1 hour/<font color=""green"">hora</font> | 2, <font size=""4.5""> 2 hours/<font color=""green"">horas</font> | 3, <font size=""4.5""> 3 hours/<font color=""green"">horas</font> | 4, <font size=""4.5""> 4 hours/<font color=""green"">horas</font> | 5, <font size=""4.5""> 5 hours/<font color=""green"">horas</font> | 6, <font size=""4.5""> 6 hours/<font color=""green"">horas</font> | 7, <font size=""4.5""> More than 6 hours<br><font color=""green"">Más de 6 horas</font>",,,,,,"[t12dayex] = ""1""",,,,,,
t12dsmo,day_12_friday_daily_survey,,radio,"<font size=""5.5"">4. Did you smoke today?

<font color=""green"">¿Fumaste el día de hoy?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12dsmo2,day_12_friday_daily_survey,,radio,"<font size=""5.5""> 5. How many cigarettes did you smoke today?

<font color=""green"">¿Cuántos cigarrillos fumaste hoy?</font>","1, <font size=""4.5""> 1 One<br><font color=""green"">Uno</font> | 2, <font size=""4.5""> 2 Two<br><font color=""green"">Dos</font> | 3, <font size=""4.5""> 3 Three <br><font color=""green"">Tres</font> | 4, <font size=""4.5""> 4 Four<br><font color=""green"">Cuatro</font> | 5, <font size=""4.5""> 5 Five<br><font color=""green"">Cinco</font> | 6, <font size=""4.5""> 6 Six<br><font color=""green"">Seis</font> | 7, <font size=""4.5""> 7 More than six<br><font color=""green"">Más de seis</font>",,,,,,[t12dsmo]='1',,,,,,
t12dnic,day_12_friday_daily_survey,,radio,"<font size=""5.5"">6. Did you use any form of nicotine today?

<font color=""green"">¿Usaste alguna forma de nicotina hoy?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12qdnic,day_12_friday_daily_survey,,notes,"<font size=""5.5"">7. What kind?
<font color=""green"">¿Qué tipo?</font></font>

<font size=""5""><span style=""font-weight:normal;"">(Did you use any form of nicotine today?)
<font color=""green"">(¿Usaste alguna forma de nicotina hoy?)</font> </font>",,,,,,,"[t12dnic] = ""1""",,,,,,
t12dmari,day_12_friday_daily_survey,,radio,"<font size=""5.5"">8a. Did you use marijuana <span style=""font-weight:normal;"">(<i>pot, weed</i>)</span> today? 

<font color=""green"">¿Usaste marihuana <span style=""font-weight:normal;"">(<i>mota</i>) </span>el día de hoy?</font></font></font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font></font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font></font>",,,,,,,,,,,,
t12dmariy,day_12_friday_daily_survey,,radio,"<font size=""5.5"">8b. Did you use marijuana <span style=""font-weight:normal;"">(<i>pot, weed</i>)</span> yesterday? 

<font color=""green"">¿Usaste marihuana <span style=""font-weight:normal;"">(<i>mota</i>) </span>el día de ayer?</font></font></font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font></font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font></font>",,,,,,,,,,,,
t1212hme,day_12_friday_daily_survey,,radio,"<font size=""5.5"">9. Did you take any medication in the past 12 hours?

<font color=""green"">¿Tomaste algún medicamento en las últimas 12 horas?</font></font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font></font> | 2, <font size=""4.5""> 2 No<br><font color=""green"">No</font></font>",,,,,,,,,,,,
t12me2,day_12_friday_daily_survey,,checkbox,"<font size=""5.5"">10. Did you take any of the following medications in the last 12 hours?

<font color=""green"">¿Tomaste alguno(s) de los siguientes medicamentos en las últimas 12 horas? </font>","1, <font size=""4.5""> 1 Steroid Inhalers<br><font color=""green"">Inhalador de Esteroides</font> | 2, <font size=""4.5"">  2 Steroid Medications<br><font color=""green"">Medicamento de Esteroides</font> | 3, <font size=""4.5""> 3 Medication that contains cortisone<br><font color=""green"">Medicamento que contiene cortisona</font> | 4, <font size=""4.5""> 4 Birth Control Pills<br><font color=""green"">Pastillas Anticonceptivas</font> | 5, <font size=""4.5""> 5 Anti-depressants or Anti-anxiety medication<br><font color=""green"">Antidepresivos o medicamentos contra la ansiedad</font> | 6, <font size=""4.5""> 6 None<br><font color=""green"">Ninguno</font> | 7, <font size=""4.5""> 7 Other<br><font color=""green"">Otro</font>",,,,,,[t1212hme]='1',,,,,,
t12qme2,day_12_friday_daily_survey,,notes,"<font size=""5.5"">Please specify.
<span style=""color:green"">Por favor especifica.</span>

<span style=""font-weight:normal;"">(Did you take any of the following medications?)
<font color=""green"">(¿Tomaste algunos de los siguientes medicamentos?) </font>",,,,,,,[t12me2(7)]='1',,,,,,
t12dayme,day_12_friday_daily_survey,,radio,"<font size=""5.5"">11. Do you take any daily medication?

<font color=""green"">¿Tomas algún medicamento diariamente?</font>","1, <font size=""4.5""> 1 Yes<br><font color=""green"">Sí</font> | 2, <font size=""4.5"">  2 No<br><font color=""green"">No</font>",,,,,,,,,,,,
t12ins02,day_12_friday_daily_survey,,descriptive,"<font size=""5.5""><div style=""background-color:white;border:1px solid black;font-weight:normal"">

<b><center>DAILY MEDICATION USE
<font color=""green"">USO DE MEDICAMENTO DIARIO</font></b></center></font>

<font size=""4.5"">Please review your list of medications you take on a regular basis. For each medication or supplement, please review the frequency (e.g., how often) and the dose (e.g., how much you take each time). This information can be found on the prescription label. The text in <span style= ""color:orange"">orange font</span> is your response from the previous day. Please verify if this information is still correct.

If you began taking a <b>new medication today</b>, please select ""2 No"" when an empty line <span style= ""color:orange"">""___""</span> appears to input a new medication. If <b>ALL 5 medications slots are filled</b>, please list your additional medications with their related frequencies and doses. </font>

<font size=""4.5""><font color=""green"">Revisa tu lista de medicamentos que tomas diariamente. Para cada medicamento o suplemento, revisa la frecuencia (por ejemplo, que tan seguido) y la dosis (por ejemplo, la cantidad que tomas cada vez). Esta información se puede encontrar en la etiqueta del medicamento. El texto en <span style=""color:orange"">color naranja</span> es tu respuesta del día anterior. Por favor, verifica si esta información todavia está correcta.

Si empezastes a tomar un <b>nuevo medicamento hoy</b>, por favor selecciona <b>""2 No""</b>  cuando veas una linea <span style= ""color:orange"">""___""</span> para proveer el nombre del nuevo medicamento. Si <b> TODOS los 5 medicamentos estan llenos</b>, por favor anota tus medicamentos adicionales con sus frecuencias y dosis.</font></font>

</div>",,,,,,,"[t12dayme] = ""1""",,,,,,
t12ins03,day_12_friday_daily_survey,,descriptive,"<font size=""5.5"">
<div style=""background-color:white;border:1px solid black;font-weight:normal"">
<b><center>PRESCRIPTION MEDICATION ONLY
<font color=""green"">MEDICAMENTO DE RECETA SOLAMENTE</font></b></center>
</DIV>",,,,,,,"[t12dayme] = ""1""",,,,,,
t12mdos5,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qmd3] = 1), [t10qpm5d] or [t9qpm5d] or [t8qpm5d] or [t7qpm5d] or [t6qpm5d] or [t5qpm5d] or [t4qpm5d] or [t3qpm5d] or [t2qpm5d] or [t1qpm5d], [t11qpm5d]))"
t12mdos4,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qmd4] = 1), [t10qpm4d] or [t9qpm4d] or [t8qpm4d] or [t7qpm4d] or [t6qpm4d] or [t5qpm4d] or [t4qpm4d] or [t3qpm4d] or [t2qpm4d] or [t1qpm4d], [t11qpm4d]))"
t12mdos3,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qmd6] = 1), [t10qpm3d] or [t9qpm3d] or [t8qpm3d] or [t7qpm3d] or [t6qpm3d] or [t5qpm3d] or [t4qpm3d] or [t3qpm3d] or [t2qpm3d] or [t1qpm3d], [t11qpm3d]))"
t12mdos2,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qmd2] = 1), [t10qpm2d] or [t9qpm2d] or [t8qpm2d] or [t7qpm2d] or [t6qpm2d] or [t5qpm2d] or [t4qpm2d] or [t3qpm2d] or [t2qpm2d] or [t1qpm2d], [t11qpm2d]))"
t12mdos1,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qmd5] = 1), [t10qpm1d] or [t9qpm1d] or [t8qpm1d] or [t7qpm1d] or [t6qpm1d] or [t5qpm1d] or [t4qpm1d] or [t3qpm1d] or [t2qpm1d] or [t1qpm1d], [t11qpm1d]))"
t12mfre5,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qpmf2] = 1), [t10qpm5f] or [t9qpm5f] or [t8qpm5f] or [t7qpm5f] or [t6qpm5f] or [t5qpm5f] or [t4qpm5f] or [t3qpm5f] or [t2qpm5f] or [t1qpm5f], [t11qpm5f]))"
t12mfre4,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qpmf3] = 1), [t10qpm4f] or [t9qpm4f] or [t8qpm4f] or [t7qpm4f] or [t6qpm4f] or [t5qpm4f] or [t4qpm4f] or [t3qpm4f] or [t2qpm4f] or [t1qpm4f], [t11qpm4f]))"
t12mfre3,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qpmf4] = 1), [t10qpm3f] or [t9qpm3f] or [t8qpm3f] or [t7qpm3f] or [t6qpm3f] or [t5qpm3f] or [t4qpm3f] or [t3qpm3f] or [t2qpm3f] or [t1qpm3f], [t11qpm3f]))"
t12mfre2,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qpmf5] = 1), [t10qpm2f] or [t9qpm2f] or [t8qpm2f] or [t7qpm2f] or [t6qpm2f] or [t5qpm2f] or [t4qpm2f] or [t3qpm2f] or [t2qpm2f] or [t1qpm2f], [t11qpm2f]))"
t12mfre1,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11qpmf1] = 1), [t10qpm1f] or [t9qpm1f] or [t8qpm1f] or [t7qpm1f] or [t6qpm1f] or [t5qpm1f] or [t4qpm1f] or [t3qpm1f] or [t2qpm1f] or [t1qpm1f], [t11qpm1f]))"
t12mna6,day_12_friday_daily_survey,,text,,,,,,,,,,,,,," @HIDDEN
@CALCTEXT(if(([t11pqm6] = 1), [t10qpm6] or [t9qpm6] or [t8qpm6] or [t7qpm6] or [t6qpm6] or [t5qpm6] or [t4qpm6] or [t3qpm6] or [t2qpm6] or [t1qpm6], [t11qpm6]))"
